Month/Year,National-US
Jan-20,214.78
Feb-20,215.71
Mar-20,216.35
Apr-20,216.86
May-20,217.1
Jun-20,217.74
Jul-20,219.46
Aug-20,222.61
Sep-20,226
Oct-20,229.82
Nov-20,233.16
Dec-20,236.28
Jan-21,239.18
Feb-21,242.08
Mar-21,245.37
Apr-21,249.15
May-21,253.64
Jun-21,258.58
Jul-21,262.92
Aug-21,267.15
Sep-21,270.58
Oct-21,273.78
Nov-21,277.09
Dec-21,280.98
Jan-22,285.28
Feb-22,290.66
Mar-22,296.34
Apr-22,300.79
May-22,304.24
Jun-22,305.16
Jul-22,304.07
Aug-22,301.85
Sep-22,299.54
Oct-22,298.87
Nov-22,298
Dec-22,296.86
Jan-23,296.12